Original Path,New Path,Alt Text,Source Page,Exists,Error
"images/about-us.jpeg","extracted-images/about-us.jpeg","","about-us.html","true",""
"images/about-us.jpeg","extracted-images/about-us.jpeg"," ","about-us.html","true",""
"images/brand-consulting.jpeg","extracted-images/brand-consulting.jpeg","","brand-consulting.html","true",""
"images/brand-consulting.jpeg","extracted-images/brand-consulting.jpeg"," ","brand-consulting.html","true",""
"images/brand-studio.jpeg","extracted-images/brand-studio.jpeg","","brand-studio_2.html","true",""
"images/brand-studio.jpeg","extracted-images/brand-studio.jpeg"," ","brand-studio_2.html","true",""
"images/brand-studio-product1.jpeg","extracted-images/brand-studio-product1.jpeg","-Brand-Studio-product1","brand-studio_2.html","true",""
"images/brand-studio-product2.jpeg","extracted-images/brand-studio-product2.jpeg","-Brand-Studio-product2","brand-studio_2.html","true",""
"images/brand-studio-product3.jpeg","extracted-images/brand-studio-product3.jpeg","-Brand-Studio-product3","brand-studio_2.html","true",""
"images/brand-studio-product5.jpeg","extracted-images/brand-studio-product5.jpeg","-Brand-Studio-Hai","brand-studio_2.html","true",""
"images/brand-management.jpeg","extracted-images/brand-management.jpeg","","brandmanagement.html","true",""
"images/brand-management.jpeg","extracted-images/brand-management.jpeg"," ","brandmanagement.html","true",""
"images/career.jpeg","extracted-images/career.jpeg","","careers.html","true",""
"images/career.jpeg","extracted-images/career.jpeg"," ","careers.html","true",""
"images/client-privacy-notice.jpeg","extracted-images/client-privacy-notice.jpeg","","client-privacy-notice.html","true",""
"images/client-privacy-notice.jpeg","extracted-images/client-privacy-notice.jpeg"," ","client-privacy-notice.html","true",""
"images/contact-us.jpeg","extracted-images/contact-us.jpeg","","contact.html","true",""
"images/contact-us.jpeg","extracted-images/contact-us.jpeg"," ","contact.html","true",""
"images/data-analysis.jpeg","extracted-images/data-analysis.jpeg","","data-analysis.html","true",""
"images/data-analysis.jpeg","extracted-images/data-analysis.jpeg"," ","data-analysis.html","true",""
"images/digital-media-roaster.jpeg","extracted-images/digital-media-roaster.jpeg","","digital-media.html","true",""
"images/digital-media-roaster.jpeg","extracted-images/digital-media-roaster.jpeg"," ","digital-media.html","true",""
"images/entry-level-opportunities.jpeg","extracted-images/entry-level-opportunities.jpeg","","entry-level-opportunities.html","true",""
"images/entry-level-opportunities.jpeg","extracted-images/entry-level-opportunities.jpeg"," ","entry-level-opportunities.html","true",""
